id,category,title,body,used_flag
t001,用語,CLAUDE.md,"プロジェクトの決まりを書いておくファイル。起動のたびに読み込まれる。\n「このリポジトリではこう書く」を毎回説明せずに済む。短く書くほど効く。",false
t002,用語,コンテキストウィンドウ,"一度に読める文章量の上限。長くなると古い話は要約される。\n「さっき言ったのに忘れた」の正体はこれ。話題が変われば会話を分ける。",false
t003,用語,スラッシュコマンド,"`/` から始まる命令。よく使う手順に名前を付けて呼べる。\n自分用は `.claude/commands/` に Markdown を置くだけで作れる。",false
t004,用語,サブエージェント,"本体とは別の文脈で動く助手。調べものなど、途中経過を持ち込みたくない作業を任せる。\n本体には結論だけ返る。",false
t005,用語,MCP,"AIを外部のツールやデータにつなぐ共通の口（Model Context Protocol）。\nサービスごとの作り込みなしに、同じ形で接続できる。",false
t006,用語,フック（Hooks）,"ツールが動く前後に自分のコマンドを差し込む仕組み。\n「書き換えたら必ずフォーマッタをかける」を、お願いでなく仕組みで守らせる。",false
t007,用語,パーミッション,"どのツールを確認なしで実行してよいかの設定。\nテストは許可、削除は毎回確認。分けておくと、止まる回数も事故も減る。",false
t008,用語,プランモード,"変更せずに計画だけ立てさせるモード。\n書かせてから直すより、方針を先に合わせるほうが早い。大きい変更ほど効く。",false
t009,用語,トークン,"AIが文章を数える単位。日本語はおおむね1文字1〜2トークン。\n料金も制限もこの単位。コストの話はトークンで話すと噛み合う。",false
t010,用語,スキル（Skills）,"手順書をフォルダにまとめ、必要になったときだけ読ませる仕組み。\n決まりが増えても本体が重くならない。",false
c001,コマンド,/init,"リポジトリを読んで CLAUDE.md のたたき台を作る。\nゼロから書くより、出てきたものを削るほうが早い。最初の1回に。",false
c002,コマンド,/clear,"会話をまっさらにする。話題が変わったら惜しまず実行。\n前の話が残っていると、関係ない前提を引きずった答えが返る。",false
c003,コマンド,claude -p,"対話に入らず答えだけ返す使い方。\n`claude -p ""この差分を1行で要約して""` のように、パイプでつなげる。自動化の入口。",false
c004,コマンド,claude --continue,"直前の会話をそのまま再開する。\nターミナルを閉じてしまっても、続きから話せる。",false
c005,コマンド,claude --resume,"過去の会話を一覧から選んで再開する。\n「先週やりかけた作業」に戻りたいときはこちら。",false
c006,コマンド,/model,"使うモデルを切り替える。\n難しい設計は上位モデル、定型作業は軽いモデル。速さと費用の釣り合いが取れる。",false
c007,コマンド,/agents,"サブエージェントを作る・直す画面を開く。\n「調査担当」「レビュー担当」と役割を分けると、毎回の指示が短くなる。",false
c008,コマンド,/mcp,"接続中の MCP サーバーの状態を確認する。\nつないだはずのツールが呼ばれないときは、まずここを見る。",false
c009,コマンド,# で書き始める,"入力の先頭に `#` を付けると、その内容をメモとして残せる。\n「次回も守ってほしい」と思った瞬間に、会話を止めず書き足せる。",false
c010,コマンド,/compact,"会話の要点を残して圧縮する。\n文脈は捨てたくないが長くなりすぎた、というときに使う。",false
